Data,Produto,Quantidade,Preço Unitário,Total Venda,Estação
2024-01-02,Camisa UV,1,443.3,664.95,Verão
2024-01-02,Cera para Prancha,5,1484.23,11131.72,Verão
2024-01-02,Capa de Prancha,3,938.32,4222.44,Verão
2024-01-02,Boné,5,1120.24,8401.8,Verão
2024-01-02,Leash,2,1041.44,3124.32,Verão
2024-01-02,Bermuda de Surf,1,826.32,1239.48,Verão
2024-01-02,Leash,2,817.72,2453.16,Verão
2024-01-02,Bermuda de Surf,4,1345.53,8073.18,Verão
2024-01-02,Camisa UV,1,1662.52,2493.78,Verão
2024-01-02,Cera para Prancha,4,1410.43,8462.58,Verão
2024-01-02,Capa de Prancha,2,1992.98,5978.94,Verão
2024-01-02,Chinelo,5,1927.15,14453.62,Verão
2024-01-02,Chinelo,4,711.64,4269.84,Verão
2024-01-02,Chinelo,1,1982.43,2973.64,Verão
2024-01-02,Roupa de Neoprene,5,1299.7,9747.75,Verão
2024-01-02,Boné,1,152.59,228.88,Verão
2024-01-02,Chinelo,4,1214.11,7284.66,Verão
2024-01-02,Bermuda de Surf,4,1505.22,9031.32,Verão
2024-01-02,Bermuda de Surf,5,591.43,4435.72,Verão
2024-01-02,Camisa UV,2,1647.7,4943.1,Verão
2024-01-02,Capa de Prancha,4,273.02,1638.12,Verão
2024-01-02,Chinelo,5,738.33,5537.48,Verão
2024-01-02,Mochila Impermeável,4,743.1,4458.6,Verão
2024-01-02,Roupa de Neoprene,4,151.85,911.1,Verão
2024-01-02,Rash Guard,5,1408.21,10561.58,Verão
2024-01-02,Capa de Prancha,1,1951.17,2926.76,Verão
2024-01-02,Boné,5,650.42,4878.15,Verão
2024-01-02,Capa de Prancha,5,122.66,919.95,Verão
2024-01-02,Leash,2,220.08,660.24,Verão
2024-01-02,Leash,4,1481.67,8890.02,Verão
2024-01-02,Camisa UV,2,1135.62,3406.86,Verão
2024-01-03,Prancha de Surf,1,1407.79,2111.68,Verão
2024-01-03,Prancha de Surf,5,1861.51,13961.32,Verão
2024-01-03,Chinelo,4,1292.83,7756.98,Verão
2024-01-03,Boné,1,612.86,919.29,Verão
2024-01-03,Prancha de Surf,2,784.54,2353.62,Verão
2024-01-03,Camisa UV,2,277.53,832.59,Verão
2024-01-03,Capa de Prancha,5,701.12,5258.4,Verão
2024-01-03,Capa de Prancha,4,809.82,4858.92,Verão
2024-01-03,Chinelo,3,1434.53,6455.39,Verão
2024-01-03,Rash Guard,1,196.17,294.25,Verão
2024-01-03,Leash,5,453.63,3402.23,Verão
2024-01-03,Capa de Prancha,4,1685.38,10112.28,Verão
2024-01-03,Leash,4,122.56,735.36,Verão
2024-01-03,Rash Guard,3,469.11,2110.99,Verão
2024-01-03,Deck de Prancha,5,1908.04,14310.3,Verão
2024-01-03,Cera para Prancha,2,461.71,1385.13,Verão
2024-01-03,Prancha de Surf,4,774.33,4645.98,Verão
2024-01-03,Cera para Prancha,2,1721.01,5163.03,Verão
2024-01-03,Chinelo,5,229.81,1723.57,Verão
2024-01-03,Boné,1,866.89,1300.34,Verão
2024-01-03,Chinelo,5,1784.51,13383.82,Verão
2024-01-03,Cera para Prancha,5,1659.47,12446.03,Verão
2024-01-03,Cera para Prancha,4,1187.54,7125.24,Verão
2024-01-03,Boné,3,359.14,1616.13,Verão
2024-01-03,Leash,3,1860.03,8370.14,Verão
2024-01-03,Deck de Prancha,1,1434.04,2151.06,Verão
2024-01-03,Chinelo,4,1223.49,7340.94,Verão
2024-01-03,Capa de Prancha,4,1379.59,8277.54,Verão
2024-01-03,Rash Guard,2,253.82,761.46,Verão
2024-01-03,Óculos de Sol,5,528.87,3966.52,Verão
2024-01-03,Chinelo,4,1137.73,6826.38,Verão
2024-01-03,Cera para Prancha,3,721.08,3244.86,Verão
2024-01-03,Roupa de Neoprene,3,1979.2,8906.4,Verão
2024-01-03,Prancha de Surf,1,1295.83,1943.74,Verão
2024-01-03,Roupa de Neoprene,4,892.67,5356.02,Verão
2024-01-03,Camisa UV,5,1096.7,8225.25,Verão
2024-01-03,Leash,4,1328.79,7972.74,Verão
2024-01-03,Capa de Prancha,1,329.46,494.19,Verão
2024-01-03,Deck de Prancha,2,1644.02,4932.06,Verão
2024-01-03,Óculos de Sol,3,1929.21,8681.44,Verão
2024-01-03,Camisa UV,2,1841.47,5524.41,Verão
2024-01-03,Roupa de Neoprene,2,918.59,2755.77,Verão
2024-01-03,Bermuda de Surf,4,959.89,5759.34,Verão
2024-01-03,Deck de Prancha,2,574.7,1724.1,Verão
2024-01-03,Bermuda de Surf,1,1453.16,2179.74,Verão
2024-01-03,Leash,1,1519.62,2279.43,Verão
2024-01-03,Boné,1,1750.95,2626.43,Verão
2024-01-03,Óculos de Sol,2,1055.82,3167.46,Verão
2024-01-03,Capa de Prancha,2,417.62,1252.86,Verão
2024-01-03,Prancha de Surf,2,395.3,1185.9,Verão
2024-01-03,Cera para Prancha,1,1035.76,1553.64,Verão
2024-01-03,Deck de Prancha,1,897.9,1346.85,Verão
2024-01-03,Bermuda de Surf,4,1792.16,10752.96,Verão
2024-01-03,Camisa UV,2,1503.01,4509.03,Verão
2024-01-03,Cera para Prancha,1,178.55,267.83,Verão
2024-01-03,Prancha de Surf,4,1909.56,11457.36,Verão
2024-01-04,Prancha de Surf,4,1227.09,7362.54,Verão
2024-01-04,Leash,1,1125.66,1688.49,Verão
2024-01-04,Camisa UV,5,1389.38,10420.35,Verão
2024-01-04,Boné,4,642.5,3855.0,Verão
2024-01-04,Roupa de Neoprene,5,1520.12,11400.9,Verão
2024-01-04,Prancha de Surf,1,1855.08,2782.62,Verão
2024-01-04,Óculos de Sol,4,822.41,4934.46,Verão
2024-01-04,Cera para Prancha,3,1507.07,6781.82,Verão
2024-01-04,Bermuda de Surf,1,115.97,173.95,Verão
2024-01-04,Camisa UV,3,530.55,2387.47,Verão
2024-01-04,Cera para Prancha,5,1782.84,13371.3,Verão
2024-01-04,Prancha de Surf,5,1314.62,9859.65,Verão
2024-01-04,Deck de Prancha,1,1522.08,2283.12,Verão
2024-01-04,Leash,5,1223.94,9179.55,Verão
2024-01-04,Chinelo,5,1946.72,14600.4,Verão
2024-01-04,Boné,2,873.54,2620.62,Verão
2024-01-04,Roupa de Neoprene,3,1717.85,7730.32,Verão
2024-01-04,Rash Guard,1,652.18,978.27,Verão
2024-01-04,Prancha de Surf,4,324.51,1947.06,Verão
2024-01-04,Roupa de Neoprene,1,258.42,387.63,Verão
2024-01-04,Camisa UV,3,661.35,2976.08,Verão
2024-01-04,Prancha de Surf,2,1114.58,3343.74,Verão
2024-01-04,Cera para Prancha,3,959.67,4318.51,Verão
2024-01-04,Chinelo,1,1993.69,2990.53,Verão
2024-01-04,Prancha de Surf,2,870.12,2610.36,Verão
2024-01-04,Capa de Prancha,5,185.14,1388.55,Verão
2024-01-04,Rash Guard,3,1802.16,8109.72,Verão
2024-01-04,Chinelo,5,598.47,4488.53,Verão
2024-01-04,Chinelo,1,1916.98,2875.47,Verão
2024-01-04,Capa de Prancha,5,1216.37,9122.77,Verão
2024-01-04,Mochila Impermeável,4,616.4,3698.4,Verão
2024-01-04,Óculos de Sol,3,781.05,3514.72,Verão
2024-01-04,Mochila Impermeável,2,1145.28,3435.84,Verão
2024-01-04,Leash,5,443.47,3326.03,Verão
2024-01-04,Boné,1,582.87,874.31,Verão
2024-01-04,Boné,2,1190.5,3571.5,Verão
2024-01-04,Cera para Prancha,5,1445.84,10843.8,Verão
2024-01-04,Deck de Prancha,1,1086.92,1630.38,Verão
2024-01-04,Deck de Prancha,2,1755.0,5265.0,Verão
2024-01-04,Óculos de Sol,4,1403.16,8418.96,Verão
2024-01-04,Prancha de Surf,3,1584.31,7129.4,Verão
2024-01-04,Leash,2,234.28,702.84,Verão
2024-01-04,Óculos de Sol,3,1279.06,5755.77,Verão
2024-01-04,Mochila Impermeável,3,696.63,3134.84,Verão
2024-01-04,Chinelo,1,1392.37,2088.55,Verão
2024-01-04,Leash,5,644.92,4836.9,Verão
2024-01-04,Mochila Impermeável,5,1993.75,14953.12,Verão
2024-01-04,Rash Guard,4,617.08,3702.48,Verão
2024-01-04,Rash Guard,3,1483.59,6676.15,Verão
2024-01-04,Cera para Prancha,4,699.28,4195.68,Verão
2024-01-04,Cera para Prancha,3,1731.36,7791.12,Verão
2024-01-04,Chinelo,5,545.07,4088.03,Verão
2024-01-04,Óculos de Sol,4,994.17,5965.02,Verão
2024-01-04,Cera para Prancha,5,865.44,6490.8,Verão
2024-01-04,Chinelo,3,1660.98,7474.41,Verão
2024-01-04,Prancha de Surf,2,706.51,2119.53,Verão
2024-01-04,Chinelo,3,1817.55,8178.97,Verão
2024-01-04,Roupa de Neoprene,5,1440.25,10801.88,Verão
2024-01-04,Roupa de Neoprene,3,1570.27,7066.21,Verão
2024-01-04,Chinelo,5,1887.92,14159.4,Verão
2024-01-05,Rash Guard,3,1506.46,6779.07,Verão
2024-01-05,Boné,4,939.44,5636.64,Verão
2024-01-05,Deck de Prancha,5,187.51,1406.32,Verão
2024-01-05,Bermuda de Surf,5,569.17,4268.77,Verão
2024-01-05,Boné,2,1345.61,4036.83,Verão
2024-01-05,Boné,5,1455.72,10917.9,Verão
2024-01-05,Camisa UV,4,660.79,3964.74,Verão
2024-01-05,Óculos de Sol,3,1806.38,8128.71,Verão
2024-01-05,Capa de Prancha,1,1165.82,1748.73,Verão
2024-01-05,Boné,2,1036.63,3109.89,Verão
2024-01-05,Deck de Prancha,4,1418.16,8508.96,Verão
2024-01-05,Deck de Prancha,5,1011.18,7583.85,Verão
2024-01-05,Camisa UV,5,481.42,3610.65,Verão
2024-01-05,Rash Guard,5,1797.09,13478.17,Verão
2024-01-05,Boné,5,370.58,2779.35,Verão
2024-01-05,Deck de Prancha,1,351.27,526.9,Verão
2024-01-05,Mochila Impermeável,3,875.2,3938.4,Verão
2024-01-05,Leash,4,1516.86,9101.16,Verão
2024-01-05,Camisa UV,4,815.29,4891.74,Verão
2024-01-05,Leash,1,1165.84,1748.76,Verão
2024-01-05,Mochila Impermeável,4,1360.45,8162.7,Verão
2024-01-05,Boné,2,1858.57,5575.71,Verão
2024-01-05,Roupa de Neoprene,2,205.67,617.01,Verão
2024-01-05,Deck de Prancha,3,1101.39,4956.26,Verão
2024-01-05,Mochila Impermeável,3,1087.45,4893.53,Verão
2024-01-05,Deck de Prancha,3,1052.77,4737.47,Verão
2024-01-05,Cera para Prancha,5,576.2,4321.5,Verão
2024-01-05,Prancha de Surf,3,1478.71,6654.19,Verão
2024-01-05,Capa de Prancha,5,277.91,2084.33,Verão
2024-01-05,Camisa UV,3,1370.5,6167.25,Verão
2024-01-05,Capa de Prancha,1,401.02,601.53,Verão
2024-01-05,Capa de Prancha,1,556.46,834.69,Verão
2024-01-05,Prancha de Surf,2,622.64,1867.92,Verão
2024-01-05,Leash,4,1700.77,10204.62,Verão
2024-01-05,Mochila Impermeável,1,646.7,970.05,Verão
2024-01-05,Rash Guard,3,767.35,3453.08,Verão
2024-01-05,Óculos de Sol,3,1390.45,6257.03,Verão
2024-01-05,Bermuda de Surf,5,808.69,6065.18,Verão
2024-01-05,Camisa UV,1,164.65,246.98,Verão
2024-01-05,Mochila Impermeável,5,1042.55,7819.12,Verão
2024-01-05,Óculos de Sol,1,1104.51,1656.76,Verão
2024-01-05,Cera para Prancha,5,1270.37,9527.77,Verão
2024-01-05,Chinelo,1,324.88,487.32,Verão
2024-01-05,Cera para Prancha,1,1759.94,2639.91,Verão
2024-01-05,Óculos de Sol,1,1634.95,2452.43,Verão
2024-01-05,Cera para Prancha,1,205.72,308.58,Verão
2024-01-05,Capa de Prancha,5,1515.17,11363.78,Verão
2024-01-05,Bermuda de Surf,4,1722.57,10335.42,Verão
2024-01-05,Rash Guard,4,1008.31,6049.86,Verão
2024-01-05,Bermuda de Surf,1,880.16,1320.24,Verão
2024-01-06,Boné,1,1014.75,1522.12,Verão
2024-01-06,Prancha de Surf,1,430.82,646.23,Verão
2024-01-06,Rash Guard,1,1157.29,1735.93,Verão
2024-01-06,Capa de Prancha,1,841.82,1262.73,Verão
2024-01-06,Leash,4,1736.49,10418.94,Verão
2024-01-06,Bermuda de Surf,2,1902.25,5706.75,Verão
2024-01-06,Leash,3,130.03,585.13,Verão
2024-01-06,Chinelo,1,1992.39,2988.59,Verão
2024-01-06,Camisa UV,4,990.12,5940.72,Verão
2024-01-06,Chinelo,5,950.73,7130.47,Verão
2024-01-06,Mochila Impermeável,5,1725.77,12943.28,Verão
2024-01-06,Capa de Prancha,2,623.95,1871.85,Verão
2024-01-06,Roupa de Neoprene,1,632.17,948.25,Verão
2024-01-06,Capa de Prancha,3,1665.28,7493.76,Verão
2024-01-06,Óculos de Sol,2,1787.84,5363.52,Verão
2024-01-06,Leash,3,721.32,3245.94,Verão
2024-01-06,Chinelo,1,1056.7,1585.05,Verão
2024-01-06,Chinelo,2,1085.15,3255.45,Verão
2024-01-06,Bermuda de Surf,4,848.55,5091.3,Verão
2024-01-06,Mochila Impermeável,2,746.05,2238.15,Verão
2024-01-06,Capa de Prancha,4,666.12,3996.72,Verão
2024-01-06,Prancha de Surf,3,960.45,4322.03,Verão
2024-01-06,Bermuda de Surf,4,1175.57,7053.42,Verão
2024-01-06,Capa de Prancha,5,1639.4,12295.5,Verão
2024-01-06,Deck de Prancha,3,1576.45,7094.03,Verão
2024-01-06,Camisa UV,4,202.81,1216.86,Verão
2024-01-06,Cera para Prancha,4,131.33,787.98,Verão
2024-01-06,Boné,4,1549.59,9297.54,Verão
2024-01-06,Prancha de Surf,1,1226.75,1840.12,Verão
2024-01-06,Cera para Prancha,2,549.4,1648.2,Verão
2024-01-06,Mochila Impermeável,1,961.19,1441.79,Verão
2024-01-06,Roupa de Neoprene,5,849.99,6374.92,Verão
2024-01-06,Chinelo,4,1935.9,11615.4,Verão
2024-01-06,Rash Guard,4,992.66,5955.96,Verão
2024-01-06,Roupa de Neoprene,2,1712.9,5138.7,Verão
2024-01-06,Chinelo,1,766.35,1149.53,Verão
2024-01-06,Leash,5,1423.69,10677.68,Verão
2024-01-06,Camisa UV,1,1336.8,2005.2,Verão
2024-01-06,Deck de Prancha,1,382.82,574.23,Verão
2024-01-06,Camisa UV,1,1340.3,2010.45,Verão
2024-01-06,Roupa de Neoprene,3,887.46,3993.57,Verão
2024-01-06,Boné,3,1014.34,4564.53,Verão
2024-01-06,Roupa de Neoprene,5,237.36,1780.2,Verão
2024-01-06,Camisa UV,2,1500.62,4501.86,Verão
2024-01-06,Roupa de Neoprene,4,1550.12,9300.72,Verão
2024-01-06,Deck de Prancha,2,1188.34,3565.02,Verão
2024-01-06,Deck de Prancha,3,1510.74,6798.33,Verão
2024-01-06,Óculos de Sol,1,950.79,1426.18,Verão
2024-01-06,Boné,4,1533.6,9201.6,Verão
2024-01-06,Deck de Prancha,5,358.29,2687.18,Verão
2024-01-06,Camisa UV,1,1033.54,1550.31,Verão
2024-01-06,Deck de Prancha,4,1107.18,6643.08,Verão
2024-01-06,Chinelo,5,1531.0,11482.5,Verão
2024-01-06,Chinelo,3,629.87,2834.41,Verão
2024-01-06,Rash Guard,2,1754.42,5263.26,Verão
2024-01-06,Óculos de Sol,4,1874.72,11248.32,Verão
2024-01-06,Chinelo,5,948.59,7114.42,Verão
2024-01-06,Roupa de Neoprene,1,641.79,962.68,Verão
2024-01-06,Capa de Prancha,1,978.11,1467.16,Verão
2024-01-06,Mochila Impermeável,5,166.41,1248.07,Verão
2024-01-06,Leash,2,1785.97,5357.91,Verão
2024-01-06,Camisa UV,1,1557.89,2336.84,Verão
2024-01-06,Cera para Prancha,5,1724.62,12934.65,Verão
2024-01-06,Roupa de Neoprene,5,1602.12,12015.9,Verão
2024-01-06,Bermuda de Surf,3,283.93,1277.68,Verão
2024-01-06,Camisa UV,5,1494.3,11207.25,Verão
2024-01-06,Mochila Impermeável,3,1136.93,5116.18,Verão
2024-01-06,Rash Guard,1,1205.37,1808.05,Verão
2024-01-06,Deck de Prancha,4,1754.82,10528.92,Verão
2024-01-06,Mochila Impermeável,3,542.11,2439.49,Verão
2024-01-06,Capa de Prancha,2,198.23,594.69,Verão
2024-01-06,Rash Guard,2,451.96,1355.88,Verão
2024-01-06,Leash,2,1175.26,3525.78,Verão
2024-01-06,Chinelo,2,167.36,502.08,Verão
2024-01-06,Rash Guard,4,464.46,2786.76,Verão
2024-01-06,Boné,2,1956.91,5870.73,Verão
2024-01-06,Cera para Prancha,2,493.55,1480.65,Verão
2024-01-06,Capa de Prancha,3,287.88,1295.46,Verão
2024-01-06,Deck de Prancha,2,1829.32,5487.96,Verão
2024-01-06,Mochila Impermeável,2,1203.11,3609.33,Verão
2024-01-06,Capa de Prancha,5,1475.02,11062.65,Verão
2024-01-06,Deck de Prancha,3,201.66,907.47,Verão
2024-01-06,Cera para Prancha,1,1925.68,2888.52,Verão
2024-01-06,Cera para Prancha,5,845.78,6343.35,Verão
2024-01-06,Cera para Prancha,2,1302.36,3907.08,Verão
2024-01-06,Boné,3,747.11,3361.99,Verão
2024-01-06,Bermuda de Surf,2,754.68,2264.04,Verão
2024-01-06,Camisa UV,5,1273.66,9552.45,Verão
2024-01-06,Deck de Prancha,5,930.65,6979.88,Verão
2024-01-06,Bermuda de Surf,2,638.78,1916.34,Verão
2024-01-06,Deck de Prancha,3,1362.14,6129.63,Verão
2024-01-07,Prancha de Surf,4,1577.43,9464.58,Verão
2024-01-07,Chinelo,4,254.42,1526.52,Verão
2024-01-07,Roupa de Neoprene,2,1646.46,4939.38,Verão
2024-01-07,Camisa UV,3,1874.29,8434.31,Verão
2024-01-07,Óculos de Sol,1,1042.26,1563.39,Verão
2024-01-07,Bermuda de Surf,3,956.88,4305.96,Verão
2024-01-07,Prancha de Surf,2,109.36,328.08,Verão
2024-01-07,Roupa de Neoprene,4,943.96,5663.76,Verão
2024-01-07,Cera para Prancha,5,1572.1,11790.75,Verão
2024-01-07,Camisa UV,1,301.97,452.96,Verão
2024-01-07,Leash,2,1186.57,3559.71,Verão
2024-01-07,Boné,5,1899.08,14243.1,Verão
2024-01-07,Leash,4,1765.09,10590.54,Verão
2024-01-07,Roupa de Neoprene,5,689.8,5173.5,Verão
2024-01-07,Chinelo,3,880.64,3962.88,Verão
2024-01-07,Óculos de Sol,1,798.98,1198.47,Verão
2024-01-07,Roupa de Neoprene,2,917.75,2753.25,Verão
2024-01-07,Leash,3,713.33,3209.99,Verão
2024-01-07,Roupa de Neoprene,1,523.15,784.72,Verão
2024-01-07,Rash Guard,2,1391.03,4173.09,Verão
2024-01-07,Óculos de Sol,5,1219.12,9143.4,Verão
2024-01-07,Camisa UV,3,1261.98,5678.91,Verão
2024-01-07,Bermuda de Surf,2,1945.34,5836.02,Verão
2024-01-07,Chinelo,4,695.98,4175.88,Verão
2024-01-07,Leash,1,1646.14,2469.21,Verão
2024-01-07,Leash,3,929.96,4184.82,Verão
2024-01-07,Capa de Prancha,5,236.51,1773.82,Verão
2024-01-07,Boné,2,1938.94,5816.82,Verão
2024-01-07,Bermuda de Surf,4,461.28,2767.68,Verão
2024-01-07,Camisa UV,5,812.79,6095.92,Verão
2024-01-07,Leash,1,1650.52,2475.78,Verão
2024-01-07,Roupa de Neoprene,1,1915.32,2872.98,Verão
2024-01-07,Boné,4,1828.81,10972.86,Verão
2024-01-07,Chinelo,1,569.36,854.04,Verão
2024-01-07,Roupa de Neoprene,1,1853.19,2779.78,Verão
2024-01-07,Boné,4,1497.87,8987.22,Verão
2024-01-07,Mochila Impermeável,3,1709.89,7694.51,Verão
2024-01-07,Capa de Prancha,4,203.99,1223.94,Verão
2024-01-07,Chinelo,4,1607.51,9645.06,Verão
2024-01-07,Prancha de Surf,4,1917.19,11503.14,Verão
2024-01-07,Óculos de Sol,1,1902.17,2853.26,Verão
2024-01-07,Prancha de Surf,2,1608.83,4826.49,Verão
2024-01-07,Chinelo,2,639.77,1919.31,Verão
2024-01-07,Rash Guard,5,1710.24,12826.8,Verão
2024-01-07,Camisa UV,2,1648.93,4946.79,Verão
2024-01-07,Chinelo,2,1051.63,3154.89,Verão
2024-01-07,Boné,3,1963.51,8835.8,Verão
2024-01-07,Capa de Prancha,3,1741.74,7837.83,Verão
2024-01-07,Rash Guard,3,142.25,640.12,Verão
2024-01-07,Bermuda de Surf,1,748.58,1122.87,Verão
2024-01-07,Capa de Prancha,5,772.14,5791.05,Verão
2024-01-07,Bermuda de Surf,3,456.61,2054.74,Verão
2024-01-07,Deck de Prancha,2,875.44,2626.32,Verão
2024-01-07,Óculos de Sol,4,1684.74,10108.44,Verão
2024-01-07,Deck de Prancha,2,685.09,2055.27,Verão
2024-01-07,Leash,2,998.78,2996.34,Verão
2024-01-07,Rash Guard,5,1293.16,9698.7,Verão
2024-01-07,Leash,2,1864.82,5594.46,Verão
2024-01-07,Bermuda de Surf,2,127.02,381.06,Verão
2024-01-07,Capa de Prancha,5,516.98,3877.35,Verão
2024-01-07,Bermuda de Surf,3,1084.97,4882.36,Verão
2024-01-07,Leash,2,395.68,1187.04,Verão
2024-01-07,Boné,4,871.83,5230.98,Verão
2024-01-07,Roupa de Neoprene,2,486.24,1458.72,Verão
2024-01-07,Chinelo,1,1504.35,2256.52,Verão
2024-01-07,Cera para Prancha,5,967.39,7255.42,Verão
2024-01-07,Roupa de Neoprene,5,638.43,4788.22,Verão
2024-01-07,Chinelo,3,177.95,800.77,Verão
2024-01-07,Leash,3,1058.29,4762.31,Verão
2024-01-07,Leash,1,1524.79,2287.18,Verão
2024-01-07,Bermuda de Surf,5,1233.45,9250.88,Verão
2024-01-07,Leash,1,480.5,720.75,Verão
2024-01-08,Cera para Prancha,2,1483.9,4451.7,Verão
2024-01-08,Camisa UV,3,744.87,3351.91,Verão
2024-01-08,Boné,4,1048.31,6289.86,Verão
2024-01-08,Leash,4,1157.24,6943.44,Verão
2024-01-08,Óculos de Sol,4,1402.73,8416.38,Verão
2024-01-08,Camisa UV,2,1027.44,3082.32,Verão
2024-01-08,Prancha de Surf,3,744.78,3351.51,Verão
2024-01-08,Camisa UV,4,1342.28,8053.68,Verão
2024-01-08,Boné,3,537.9,2420.55,Verão
2024-01-08,Capa de Prancha,2,281.63,844.89,Verão
2024-01-08,Cera para Prancha,4,796.93,4781.58,Verão
2024-01-08,Mochila Impermeável,2,235.02,705.06,Verão
2024-01-08,Boné,1,1972.86,2959.29,Verão
2024-01-08,Cera para Prancha,2,1119.01,3357.03,Verão
2024-01-08,Rash Guard,2,419.77,1259.31,Verão
2024-01-08,Rash Guard,5,398.89,2991.67,Verão
2024-01-08,Prancha de Surf,5,1489.07,11168.02,Verão
2024-01-08,Camisa UV,4,1097.55,6585.3,Verão
2024-01-08,Chinelo,2,1513.57,4540.71,Verão
2024-01-08,Chinelo,5,670.11,5025.83,Verão
2024-01-08,Mochila Impermeável,2,118.44,355.32,Verão
2024-01-08,Mochila Impermeável,3,854.99,3847.46,Verão
2024-01-08,Óculos de Sol,2,555.4,1666.2,Verão
2024-01-08,Roupa de Neoprene,3,402.45,1811.02,Verão
2024-01-08,Camisa UV,5,669.94,5024.55,Verão
2024-01-08,Mochila Impermeável,1,500.37,750.56,Verão
2024-01-08,Mochila Impermeável,3,626.89,2821.01,Verão
2024-01-08,Óculos de Sol,2,400.56,1201.68,Verão
2024-01-08,Roupa de Neoprene,4,774.14,4644.84,Verão
2024-01-08,Prancha de Surf,4,558.7,3352.2,Verão
2024-01-08,Óculos de Sol,3,1530.05,6885.22,Verão
2024-01-08,Cera para Prancha,5,1493.77,11203.28,Verão
2024-01-08,Camisa UV,5,1814.8,13611.0,Verão
2024-01-08,Camisa UV,1,851.48,1277.22,Verão
2024-01-08,Rash Guard,5,814.86,6111.45,Verão
